Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
ar Argentina,24,28.4,58.0,6,66,570,6.3,12,7,9,3,4,12,0,1.89,1.11,3.00,1.42,2.53,11.8,8.9,6.2,15.0,1.87,0.98,2.84,1.40,2.37
au Australia,20,28.7,37.8,4,44,360,4.0,3,3,3,0,0,7,0,0.75,0.75,1.50,0.75,1.50,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06
be Belgium,20,30.6,57.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85
br Brazil,26,28.5,56.2,5,55,480,5.3,8,6,7,1,1,6,0,1.50,1.13,2.62,1.31,2.44,12.0,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64
cm Cameroon,22,28.0,41.7,3,33,270,3.0,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2.0,5.4,1.14,0.66,1.80,1.14,1.80
ca Canada,19,28.2,52.0,3,33,270,3.0,1,1,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13
cr Costa Rica,22,30.6,31.3,3,33,270,3.0,3,1,3,0,0,6,0,1.00,0.33,1.33,1.00,1.33,1.4,1.4,0.6,2.0,0.48,0.20,0.68,0.48,0.68
hr Croatia,18,29.4,55.0,6,66,600,6.7,6,6,6,0,0,8,0,0.90,0.90,1.80,0.90,1.80,6.4,6.4,5.0,11.4,0.95,0.75,1.71,0.95,1.71
dk Denmark,20,27.5,60.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.90,0.59,1.49,0.90,1.49
ec Ecuador,18,25.8,53.3,3,33,270,3.0,4,2,3,1,1,3,0,1.33,0.67,2.00,1.00,1.67,3.7,2.9,1.8,4.7,1.24,0.60,1.84,0.98,1.58
eng England,20,27.0,62.8,5,55,450,5.0,13,11,12,1,2,1,0,2.60,2.20,4.80,2.40,4.60,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55
fr France,24,27.3,52.2,6,66,540,6.0,13,11,13,0,0,5,0,2.17,1.83,4.00,2.17,4.00,11.6,11.6,9.7,21.2,1.93,1.61,3.54,1.93,3.54
de Germany,20,28.1,59.3,3,33,270,3.0,6,5,5,1,1,3,0,2.00,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.50,5.85,3.09,5.59
gh Ghana,20,26.4,42.0,3,33,270,3.0,5,2,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.70
ir IR Iran,21,29.3,36.7,3,33,270,3.0,4,2,3,1,1,7,0,1.33,0.67,2.00,1.00,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75
jp Japan,22,28.8,35.8,4,44,390,4.3,5,4,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,5.0,5.0,3.5,8.5,1.15,0.81,1.96,1.15,1.96
kr Korea Republic,21,29.0,48.3,4,44,360,4.0,5,3,5,0,0,6,0,1.25,0.75,2.00,1.25,2.00,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98
mx Mexico,21,29.0,54.0,3,33,270,3.0,2,1,2,0,0,7,0,0.67,0.33,1.00,0.67,1.00,3.3,3.3,2.7,6.0,1.09,0.90,1.99,1.09,1.99
ma Morocco,22,27.3,37.2,6,66,570,6.3,5,4,5,0,0,7,1,0.79,0.63,1.42,0.79,1.42,5.4,5.4,4.3,9.7,0.86,0.68,1.54,0.86,1.54
nl Netherlands,21,27.6,53.0,5,55,480,5.3,10,8,10,0,0,12,1,1.87,1.50,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41
pl Poland,21,28.7,37.3,4,44,360,4.0,3,1,2,1,2,7,0,0.75,0.25,1.00,0.50,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18
pt Portugal,24,27.8,60.4,5,55,450,5.0,12,10,10,2,2,6,0,2.40,2.00,4.40,2.00,4.00,7.8,6.2,5.2,11.4,1.56,1.04,2.60,1.24,2.29
qa Qatar,20,29.0,43.0,3,33,270,3.0,1,1,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,1.4,1.4,1.2,2.6,0.47,0.39,0.87,0.47,0.87
sa Saudi Arabia,23,28.1,44.7,3,33,270,3.0,3,2,3,0,1,14,0,1.00,0.67,1.67,1.00,1.67,3.0,2.1,1.4,3.5,0.99,0.47,1.47,0.71,1.18
sn Senegal,20,27.7,44.8,4,44,360,4.0,5,2,4,1,1,7,0,1.25,0.50,1.75,1.00,1.50,4.6,3.8,2.5,6.2,1.14,0.61,1.75,0.94,1.55
rs Serbia,22,27.4,51.3,3,33,270,3.0,5,4,5,0,0,12,0,1.67,1.33,3.00,1.67,3.00,3.4,3.4,2.9,6.2,1.12,0.95,2.07,1.12,2.07
es Spain,21,26.4,75.8,4,44,390,4.3,9,5,8,1,1,2,0,2.08,1.15,3.23,1.85,3.00,6.2,5.4,4.0,9.4,1.42,0.92,2.34,1.24,2.16
ch Switzerland,24,28.5,49.0,4,44,360,4.0,5,4,5,0,0,9,0,1.25,1.00,2.25,1.25,2.25,5.6,5.6,3.6,9.2,1.41,0.89,2.30,1.41,2.30
tn Tunisia,21,27.7,44.3,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.9,4.2,0.77,0.64,1.41,0.77,1.41
us United States,20,25.4,53.0,4,44,360,4.0,3,3,3,0,0,5,0,0.75,0.75,1.50,0.75,1.50,4.1,4.1,3.5,7.6,1.01,0.87,1.89,1.01,1.89
uy Uruguay,19,28.5,48.7,3,33,270,3.0,2,1,2,0,0,8,0,0.67,0.33,1.00,0.67,1.00,3.7,3.7,2.8,6.4,1.23,0.92,2.15,1.23,2.15
wls Wales,18,27.7,46.7,3,33,270,3.0,1,0,0,1,1,5,1,0.33,0.00,0.33,0.00,0.00,2.7,1.9,1.8,3.7,0.91,0.59,1.49,0.65,1.23
