PLAYER NAME,TEAM,MATCHES,GOALS,TIME PLAYED,TOTAL GOALS,ASSISTS,KEY PASSES,LEFT FOOT,RIGHT FOOT,HEADER,OWN GOALS,PENALTIES,ATTEMPTS,ATTEMPTS ON TARGET,ATTEMPTS OFF TARGET,ATTEMPTS BLOCKED,PASSES ATTEMPTED (PA),PASSES COMPLETED (PC),PC (%),CROSSES ATTEMPTED,CROSSES COMPLETED,SAVES MADE,BLOCKS,TOTAL CLEARANCES,INTERCEPTIONS,RECOVERIES,GOALS CONCEDED,FOULS WON,FOULS CONCEDED,YELLOW CARDS,RED CARDS
Kylian Mbappe,France,7.0,8.0,597 Mins,8.0,2.0,9.0,0.0,7.0,1.0,0.0,2.0,21.0,14.0,7.0,10.0,,,,,,,,,,,,,,,
Lionel Messi,Argentina,7.0,7.0,690 Mins,7.0,3.0,18.0,6.0,1.0,0.0,0.0,4.0,29.0,18.0,11.0,3.0,347.0,295.0,85%,347.0,5.0,,,,,,,,,,
Julian Alvarez,Argentina,7.0,4.0,467 Mins,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,9.0,8.0,1.0,2.0,,,,,,,,,,,,,,,
Olivier Giroud,France,6.0,4.0,423 Mins,4.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,15.0,6.0,9.0,1.0,,,,,,,,,,,,,,,
Marcus Rashford,England,5.0,3.0,137 Mins,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0,3.0,2.0,,,,,,,,,,,,,,,
Goncalo Ramos,Portugal,4.0,3.0,153 Mins,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Enner Valencia,Ecuador,3.0,3.0,256 Mins,3.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Richarlison,Brazil,4.0,3.0,326 Mins,3.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Alvaro Morata,Spain,4.0,3.0,183 Mins,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,5.0,3.0,0.0,,,,,,,,,,,,,,,
Bukayo Saka,England,4.0,3.0,293 Mins,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Cody Gakpo,Netherlands,5.0,3.0,453 Mins,3.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Niclas Fuellkrug,Germany,3.0,2.0,66 Mins,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Ferran Torres,Spain,4.0,2.0,219 Mins,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Andrej Kramaric,Croatia,7.0,2.0,481 Mins,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Kai Havertz,Germany,2.0,2.0,103 Mins,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Neymar,Brazil,3.0,2.0,281 Mins,2.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,10.0,7.0,3.0,2.0,,,,,,,,,,,,,,,
Mohammed Kudus,Ghana,3.0,2.0,249 Mins,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Breel Embolo,Switzerland,4.0,2.0,326 Mins,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Aleksandar Mitrovic,Serbia,3.0,2.0,263 Mins,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,5.0,2.0,,,,,,,,,,,,,,,
Salem Al Dawsari,Saudi Arabia,3.0,2.0,270 Mins,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Ivan Perisic,,7.0,,,,,,,,,,,13.0,4.0,9.0,3.0,,,,,,,,,,,,,,,
Lautaro Martinez,,6.0,,,,,,,,,,,11.0,4.0,7.0,3.0,,,,,,,,,,,,,,,
Jamal Musiala,,3.0,,,,,,,,,,,10.0,3.0,7.0,2.0,,,,,,,,,,,,,,,
Dani Olmo,,4.0,,,,,,,,,,,10.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
Memphis Depay,,5.0,,,,,,,,,,,9.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
Harry Kane,,5.0,,,,,,,,,,,9.0,6.0,3.0,3.0,,,,,,,,,,,,,,,
Robert Lewandowski,,4.0,,,,,,,,,,,9.0,4.0,5.0,3.0,,,,,,,,,,,,,,,
Serge Gnabry,,3.0,,,,,,,,,,,8.0,4.0,4.0,4.0,,,,,,,,,,,,,,,
Hakim Ziyech,,7.0,,,,,,,,,,,8.0,2.0,6.0,2.0,,,,,,,,,,,,,,,
Vinicius Junior,,4.0,,,,,,,,,,,8.0,4.0,4.0,1.0,,,,,,,,,,,,,,,
Raphinha,,5.0,,,,,,,,,,,7.0,6.0,1.0,1.0,,,,,,,,,,,,,,,
Federico Valverde,,3.0,,,,,,,,,,,7.0,1.0,6.0,0.0,,,,,,,,,,,,,,,
Rodri,,4.0,,,,,,,,,,,,,,,684.0,638.0,93%,684.0,1.0,,,,,,,,,,
Nicolas Otamendi,,7.0,,,,,,,,,,,,,,,575.0,530.0,92%,575.0,0.0,,,,,,,,,,
Rodrigo de Paul,,7.0,,,,,,,,,,,,,,,539.0,462.0,86%,539.0,1.0,,,,,,,,,,
Marcelo Brozovic,,6.0,,,,,,,,,,,,,,,525.0,466.0,89%,525.0,0.0,,,,,,,,,,
Luka Modric,,7.0,,,,,,,,,,,,,,,517.0,458.0,89%,517.0,7.0,,,,,,,,,,
Josko Gvardiol,,7.0,,,,,,,,,,,,,,,515.0,463.0,90%,515.0,0.0,,,,,,,,,,
Aurelien Tchouameni,,7.0,,,,,,,,,,,,,,,468.0,423.0,90%,468.0,0.0,,,,,,,,,,
Enzo Fernandez,,7.0,,,,,,,,,,,,,,,468.0,410.0,88%,468.0,1.0,,,,,,,,,,
Mateo Kovacic,,7.0,,,,,,,,,,,,,,,456.0,414.0,91%,456.0,0.0,,,,,,,,,,
Dejan Lovren,,6.0,,,,,,,,,,,,,,,455.0,403.0,89%,455.0,1.0,,,,,,,,,,
John Stones,,5.0,,,,,,,,,,,,,,,453.0,434.0,96%,453.0,0.0,,,,,,,,,,
Aymeric Laporte,,3.0,,,,,,,,,,,,,,,435.0,410.0,94%,435.0,0.0,,,,,,,,,,
Pedri,,4.0,,,,,,,,,,,,,,,430.0,391.0,91%,430.0,0.0,,,,,,,,,,
Harry Maguire,,5.0,,,,,,,,,,,,,,,406.0,354.0,87%,406.0,0.0,,,,,,,,,,
Cristian Romero,,7.0,,,,,,,,,,,,,,,373.0,335.0,90%,373.0,0.0,,,,,,,,,,
Marquinhos,,5.0,,,,,,,,,,,,,,,364.0,349.0,96%,364.0,1.0,,,,,,,,,,
Frenkie de Jong,,5.0,,,,,,,,,,,,,,,358.0,319.0,89%,358.0,1.0,,,,,,,,,,
Virgil van Dijk,,5.0,,,,,,,,,,,,,,,355.0,311.0,88%,355.0,0.0,,,,,,,,,,
Dayotchanculle Upamecano,,5.0,,,,,,,,,,,,,,,348.0,313.0,90%,348.0,0.0,,,,,,,,,,
Dominik Livakovic,Croatia,,,,,,,,,,,,,,,,,,,,,25.0,0.0,2.0,0.0,66.0,7.0,,,,
Wojciech Szczesny,Poland,,,,,,,,,,,,,,,,,,,,,23.0,0.0,6.0,0.0,36.0,5.0,,,,
Andries Noppert,Netherlands,,,,,,,,,,,,,,,,,,,,,18.0,0.0,5.0,0.0,45.0,4.0,,,,
Hugo Lloris,France,,,,,,,,,,,,,,,,,,,,,17.0,0.0,4.0,0.0,38.0,7.0,,,,
Vanja Milinkovic-Savic,Serbia,,,,,,,,,,,,,,,,,,,,,16.0,0.0,3.0,1.0,32.0,8.0,,,,
Shuichi Gonda,Japan,,,,,,,,,,,,,,,,,,,,,15.0,0.0,4.0,0.0,26.0,4.0,,,,
Mohammed Al Owais,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,14.0,0.0,9.0,0.0,30.0,5.0,,,,
Yann Sommer,Switzerland,,,,,,,,,,,,,,,,,,,,,12.0,0.0,2.0,0.0,22.0,7.0,,,,
Mat Ryan,Australia,,,,,,,,,,,,,,,,,,,,,12.0,0.0,7.0,0.0,33.0,6.0,,,,
Keylor Navas,Costa Rica,,,,,,,,,,,,,,,,,,,,,11.0,0.0,3.0,1.0,28.0,11.0,,,,
Kim Seung-gyu,Korea Republic,,,,,,,,,,,,,,,,,,,,,11.0,0.0,3.0,2.0,28.0,8.0,,,,
Diogo Costa,Portugal,,,,,,,,,,,,,,,,,,,,,11.0,0.0,4.0,0.0,37.0,6.0,,,,
Lawrence Ati-Zigi,Ghana,,,,,,,,,,,,,,,,,,,,,10.0,0.0,1.0,0.0,18.0,7.0,,,,
,Cameroon,,,,,,,,,,,,,,,,,,,,,9.0,0.0,2.0,0.0,20.0,3.0,,,,
Thibaut Courtois,Belgium,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,0.0,18.0,2.0,,,,
Matt Turner,USA,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,0.0,39.0,4.0,,,,
Aymen Dahmen,Tunisia,,,,,,,,,,,,,,,,,,,,,9.0,0.0,2.0,0.0,18.0,1.0,,,,
Manuel Neuer,Germany,,,,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,0.0,21.0,5.0,,,,
Milan Borjan,Canada,,,,,,,,,,,,,,,,,,,,,8.0,0.0,3.0,0.0,29.0,7.0,,,,
Kasper Schmeichel,Denmark,,,,,,,,,,,,,,,,,,,,,8.0,0.0,3.0,0.0,26.0,3.0,,,,
Ousmane Dembele,France,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,0.0
Sofiane Boufal,Morocco,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,1.0,0.0
Dominik Livakovic,Croatia,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0
Rodrigo de Paul,Argentina,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,7.0,0.0,0.0
Emiliano Martinez,Argentina,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0
Mateo Kovacic,Croatia,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,2.0,0.0
Azz-Eddine Ounahi,Morocco,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.0,1.0,0.0
Selim Amallah,Morocco,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,1.0,0.0
Achraf Hakimi,Morocco,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,0.0,0.0
Sofyan Amrabat,Morocco,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,14.0,1.0,0.0
Mario Pasalic,Croatia,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.0
Luka Modric,Croatia,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,13.0,1.0,0.0
Nicolas Otamendi,Argentina,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,2.0,0.0
Antoine Griezmann,France,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.0,1.0,0.0
Cristian Romero,Argentina,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,2.0,0.0
Lovro Majer,Croatia,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0.0,0.0
Hakim Ziyech,Morocco,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,0.0,0.0
Aurelien Tchouameni,France,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,1.0,0.0
Enzo Fernandez,Argentina,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,1.0,0.0
Nahuel Molina,Argentina,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0
